epoch,train_loss,val_loss,val_roc_auc_score
1,0.5592792319754759,0.5219953656196594,0.8261879500200866
2,0.4848708121312989,0.4570353627204895,0.8379361138866285
3,0.45946316086938455,0.4710472524166107,0.8414847701356627
4,0.4462475728775774,0.42923474311828613,0.8403001679044902
5,0.4291303403202503,0.4515376389026642,0.8380391227762957
6,0.4160883181270153,0.4782453179359436,0.840125052792056
7,0.3982814097008298,0.4878148138523102,0.8439672843766417
8,0.3845553312982832,0.5805366635322571,0.8384202556680641
9,0.3683080418951928,0.5124338865280151,0.8406400972403919
10,0.35191108997438164,0.42591017484664917,0.8388580434491497
11,0.3268662562800778,0.46625590324401855,0.8274137558071262
12,0.3121126034400529,0.4877721965312958,0.8325745011794518
13,0.2877905491355156,0.4469172954559326,0.8294584822670195
14,0.2632912626445648,0.4238221049308777,0.8281914729241133
15,0.24642828115010781,0.5505279898643494,0.8233861082211393
16,0.224427594248915,0.4888642728328705,0.8270068706929408
17,0.21562164646780324,0.5641303658485413,0.8199507617507391
