epoch,train_loss,val_loss,roc_auc_score
0,0.4191996745765209,0.3432116210460663,0.768723678126445
1,0.3557038276394208,0.2994019091129303,0.8250884165010811
2,0.3401770695050557,0.3051603436470032,0.8247916119921519
3,0.33067346272369225,0.29695776104927063,0.8336207650682962
4,0.32372594286998113,0.3119521737098694,0.8395068671190593
5,0.31789854891598224,0.2880059480667114,0.8413376823004536
6,0.3124701083203157,0.3013046383857727,0.8384883590147341
7,0.30934047351280847,0.2839091420173645,0.8461177970232071
8,0.306562626461188,0.2962944805622101,0.8378760044489434
9,0.2985364753504594,0.292288213968277,0.8416001199715069
10,0.2945485808203618,0.29037103056907654,0.8454554543295968
11,0.2884413626044989,0.292424738407135,0.8424311725965085
12,0.28440897529323894,0.31579041481018066,0.8347954860720579
13,0.2781708079079787,0.3002304434776306,0.8339394393831464
14,0.26824587446947895,0.3120742440223694,0.8312088379009985
