epoch,train_loss,val_loss,val_roc_auc_score
1,0.636444984210862,0.5515128970146179,0.7661646700110218
2,0.56665593444828,0.5256237387657166,0.7753479125248508
3,0.5406373075786091,0.5056014657020569,0.7862926070519886
4,0.5240978869417358,0.5003190636634827,0.7938534595535596
5,0.5135427494607274,0.49913522601127625,0.8058951987556526
6,0.5013000577215164,0.45051559805870056,0.8134148477013565
7,0.4946829281629078,0.5168231725692749,0.8225929397707021
8,0.48723555131564067,0.4978010058403015,0.8283974907034477
9,0.4806126785420236,0.488552987575531,0.828917685596267
10,0.47630311199833475,0.4739939272403717,0.8320800585090493
11,0.4700534139124174,0.46217408776283264,0.8356853696474006
12,0.4629282216940607,0.47991275787353516,0.8373747154379423
13,0.4623902039158912,0.47726717591285706,0.8381833352218296
14,0.45667349653584616,0.45407411456108093,0.8402795661265567
15,0.4488204015152795,0.4844077229499817,0.8394709463426694
16,0.4486082819482637,0.49552488327026367,0.8395018490095695
17,0.4413751079922631,0.4563346207141876,0.841747442804314
18,0.44104151853493284,0.5033043622970581,0.8390383090060671
19,0.4357660502668411,0.4391431510448456,0.8362210158736699
20,0.4357827492058277,0.4533531963825226,0.8403722741272572
21,0.43172854699549224,0.4774046838283539,0.8471914626232242
22,0.4298007662688929,0.4386654794216156,0.8458471966130677
23,0.4258761095503966,0.44559741020202637,0.8484378701881973
24,0.4207202746045022,0.4557790458202362,0.8481751975195458
25,0.4170236819911571,0.41797423362731934,0.8438333728200743
26,0.4210038564153134,0.44486865401268005,0.8491125784155173
27,0.41412517292395473,0.47749003767967224,0.849091976637584
28,0.414371753791495,0.4431282579898834,0.8475004892922259
29,0.41089600661680814,0.44850286841392517,0.8443123641570267
30,0.40417679280988755,0.44905993342399597,0.8455896743888998
31,0.40556504098432405,0.46083033084869385,0.8466764181748886
32,0.40300027316524867,0.465399831533432,0.8460429135034353
33,0.39626077887794325,0.47049638628959656,0.8467176217307554
34,0.39827196802648285,0.4638320207595825,0.8473459759577251
35,0.3951811125827214,0.49265262484550476,0.8443947712687605
36,0.3960022288300688,0.47867321968078613,0.8473974804025588
