epoch,train_loss,val_loss,val_roc_auc_score
1,0.5714700001584002,0.4217430651187897,0.8565955753092973
2,0.48422440989365473,0.5277605652809143,0.8654626466328348
3,0.46162441549216504,0.5268766283988953,0.8724667484825368
4,0.44780917118874763,0.4424065947532654,0.8765188452906122
5,0.43562683175066286,0.4467196762561798,0.8815659999778876
6,0.42173682117955924,0.4799883961677551,0.88070914458191
7,0.40685876435370605,0.35649412870407104,0.8745010890355678
8,0.39276270921061024,0.400380939245224,0.8788682875053899
9,0.3780046621047298,0.43894055485725403,0.87608212544363
10,0.3562994502499494,0.5149036645889282,0.8776631618516921
11,0.3404980816784695,0.39141249656677246,0.8736829303348924
12,0.31956374208779026,0.4911821186542511,0.8720797815295145
13,0.2990021348969471,0.3811311423778534,0.8730085022167678
14,0.2779413063586111,0.5177386403083801,0.8662586929361946
15,0.25914376823477725,0.38226062059402466,0.869769036010039
