epoch,train_loss,val_loss,roc_auc_score
0,0.4055135728418827,0.36525505781173706,0.8224263933574357
1,0.3400711263343692,0.3361745774745941,0.8467997832985064
2,0.32531651087105273,0.3435276448726654,0.8455836014461507
3,0.3189032340794802,0.3406480550765991,0.8546054595508973
4,0.3166853093355894,0.3567642569541931,0.8396408946675955
5,0.31125760309398176,0.3403852880001068,0.8523444669253818
6,0.3086968182772398,0.3439507484436035,0.8525711189978663
7,0.3072023676584164,0.3199980556964874,0.8570654637522527
8,0.31134373841186364,0.3361421823501587,0.8500226652072485
9,0.30536491026480994,0.33808645606040955,0.8480546618461641
10,0.3080257127434015,0.31648534536361694,0.8581047464260838
11,0.30622606155773,0.32953596115112305,0.8523555231240396
12,0.30171283915638925,0.3897366225719452,0.8498899908233551
13,0.30095040024568637,0.36841630935668945,0.853029951242164
14,0.29674358874559403,0.33102935552597046,0.8506086437361107
15,0.29755078511933486,0.32679620385169983,0.8541024025119682
16,0.29440541135768095,0.3243590295314789,0.8477340320850885
17,0.29425076556702456,0.33256620168685913,0.8468274237951506
18,0.29139601401984694,0.36376315355300903,0.8477533804327396
19,0.29509970257679624,0.33585041761398315,0.8469656262783731
20,0.289978104904294,0.3731774389743805,0.8438588344555376
21,0.28939848807950813,0.32121503353118896,0.8461419394783686
22,0.28401480967799825,0.33413761854171753,0.8375402169226177
23,0.28752119657893976,0.36148056387901306,0.8378110937897332
24,0.287292337367932,0.34263622760772705,0.8436542947803686
25,0.28229914121329786,0.3596879243850708,0.835981292911871
26,0.281887815395991,0.33360326290130615,0.8418687186971374
27,0.2807569225380818,0.36983785033226013,0.8324460733910466
28,0.30266737247506775,0.33938246965408325,0.8173294857762005
29,0.29745415300130845,0.3414115607738495,0.8262131413977247
30,0.28018670740226903,0.3506218492984772,0.8226198768339469
31,0.2765536018709342,0.37091606855392456,0.8204279854500426
32,0.27661471063892046,0.36411696672439575,0.8261495682554425
33,0.2703740419819951,0.38910531997680664,0.8156378873815605
34,0.2680101979027192,0.4038717448711395,0.8139628732849072
35,0.26858248668412366,0.4237479269504547,0.8114641723882495
36,0.2671360184128086,0.4777705669403076,0.7896889891317567
37,0.26140235987802346,0.4506168067455292,0.8038077548177386
38,0.2644001644725601,0.40032538771629333,0.8312547679856711
39,0.2797382117062807,0.39873749017715454,0.813376894756045
40,0.2631331061820189,0.39085912704467773,0.8115692062754983
41,0.2619627041866382,0.4140092134475708,0.8153559543157871
42,0.26026904677351315,0.4488285183906555,0.8088963702499806
43,0.2750121915092071,0.41364118456840515,0.8109776996473071
44,0.2609298388659954,0.4584524631500244,0.7965383042002498
45,0.2507345506300529,0.5117025971412659,0.7859989828297235
46,0.26578269712626934,0.4750507175922394,0.8078709078244718
47,0.2543110599368811,0.41774383187294006,0.8031056862029696
48,0.25277974201987186,0.5128965377807617,0.7965935851935388
49,0.25390218558410804,0.6122985482215881,0.7965521244485722
